"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC000376;EC000377;EC000378;EC000379
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC000165;EC000166;EC00018;EC00014;EC000544;EC000545;EC000517;EC000119;EC00065;EC00066;EC00067;EC00055;EC00056;EC000236;EC000736;EC00075;EC000372;EC000373;EC000371;EC000215;EC00068;EC00069;EC000408;EC000143;EC000144;EC000273;EC000274;EC00073;EC00074;EC000536;EC000670;EC000671;EC000412;EC000251;EC000554;EC000496;EC000269;EC000264;EC00032;EC000176;EC000177;EC00015;EC00016;EC00017;EC00028;EC00034;EC00035
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00018;EC00019;EC00014;EC00015;EC00016;EC00017;EC00031;EC00068;EC00069;EC000318;EC00032;EC000343;EC000344;EC00022;EC00021;EC000154;EC00028;EC00027
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC000418;EC000419;EC000420;EC000421;EC00018;EC00072;EC000399;EC000508;EC00022;EC000266
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00029
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00068;EC00069;EC00084;EC00085;EC00086;EC00087;EC00019;EC000562;EC000180;EC00089;EC00090;EC00091;EC00021;EC00023;EC00024;EC000189
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00018;EC0001;EC0002;EC00014;EC000750;EC000324;EC000325;EC000326;EC000327;EC000328;EC000192;EC000193;EC000260;EC000550;EC000551;EC000552;EC000898;EC000681;EC000682;EC000683;EC000897;EC000998;EC000312;EC000313;EC000314;EC000854;EC000855;EC00063;EC00072;EC000120;EC000121
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC000115
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00029
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000241;EC000242;EC00020;EC000161;EC000127;EC000128;EC000129;EC000151;EC000152;EC000223;EC000224;EC00029;EC000663;EC000664;EC000665;EC000115;EC00033;EC000738;EC00078;EC00079;EC000301;EC000739;EC000409;EC000410;EC00030
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000226;EC000329;EC000330;EC000331;EC000332;EC000461;EC000462;EC000463
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC00018;EC00083;EC00019;EC00015;EC00016;EC00017;EC00031;EC000154;EC000502;EC00021;EC000484;EC000485;EC000486;EC000349;EC000350;EC000641;EC000525;EC000526;EC00036;EC000235;EC00068;EC00069;EC00076;EC000352;EC00027;EC000418;EC000419;EC000420;EC000421;EC000195;EC000479;EC00023;EC00024;EC00032;EC00028;EC000183;EC000184
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000111;EC000112;EC000113
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000397;EC000398;EC000636
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000531;EC000563;EC000456;EC000663;EC00015;EC00016;EC00017;EC000361;EC000191;EC000550;EC000551;EC000552;EC000543;EC000414;EC000139;EC000140;EC000151;EC000152;EC000167;EC000168;EC000681;EC000682;EC000683;EC000624;EC000622;EC000623;EC000267;EC000241;EC000242;EC000161;EC00033;EC00020;EC000108;EC000688;EC000689;EC00062;EC00063;EC000162;EC00047;EC000301;EC000500;EC000501;EC000109;EC000384;EC000385;EC000115;EC00029;EC000772;EC000771;EC000120;EC000121;EC000188;EC000359
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC00018;EC00019;EC00072;EC00022;EC00015;EC00016;EC00017;EC000158;EC00032;EC00023;EC00024;EC000502;EC000266;EC00059;EC00060;EC00061
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC000343;EC000344;EC000195;EC000114;EC00034;EC00035;EC000317;EC000216;EC000189;EC000209;EC000210
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC00020;EC000535;EC000188;EC00029;EC000363;EC000364;EC00047;EC000114;EC00063;EC000651;EC000127;EC000128;EC000129;EC000359
"Glutamate metabolism",16,16,0.01302,0.1567,1.622,EC00082
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC000932;EC000189;EC000933;EC0001;EC0002;EC000828;EC000898;EC000192;EC000193;EC000643;EC000644;EC000324;EC000325;EC000326;EC000327;EC000328;EC000743;EC000649;EC000650;EC000260;EC000897;EC000222;EC000220;EC000221;EC000120;EC000121;EC00014;EC000645;EC000646;EC000647;EC000648;EC00034;EC00035;EC000921;EC000939;EC000940;EC000890;EC000891
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC000130;EC000131;EC00013;EC000148;EC000255;EC000302
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC000172;EC000173;EC000174;EC000175;EC00065;EC00066;EC00067;EC000114;EC000134;EC000135;EC000136;EC000137;EC000138;EC000360
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00020;EC00078;EC00079;EC000336;EC000337;EC000338;EC000339;EC000340
